Actor/Actress	Movie	Year
ALI, MUHAMMAD (I)	AMERICAN MASTERS	1985
ALI, MUHAMMAD (I)	A.K.A. CASSIUS CLAY	1970
ALICE, MARY (I)	AMERICAN PLAYHOUSE	1981
ALICE, MARY (I)	THE BONFIRE OF THE VANITIES	1990
ALLAN, PATTI	SHOWDOWN AT WILLIAMS CREEK	1991
ALLEN, JOAN (I)	AMERICAN PLAYHOUSE	1981
ALLEN, JOAN (I)	WITHOUT WARNING: THE JAMES BRADY STORY	1991
ALLEN, KAREN (I)	SWEET TALKER	1991
ALLEN, KEITH (I)	SCANDAL	1989
ALLEN, TODD (I)	GRAND CANYON	1991
ALLEN, WOODY	BANANAS	1971
ALLEN, WOODY	AMERICAN MASTERS	1985
ALLEY, KIRSTIE	STAR TREK: THE WRATH OF KHAN	1982
ALMODÛVAR, AGUSTÌN	TACONES LEJANOS	1991
ALONSO, MARIA CONCHITA	MCBAIN	1991
ALONSO, MARIA CONCHITA	PREDATOR 2	1990
ALT, CAROL	VENDETTA: SECRETS OF A MAFIA BRIDE	1991
ALVARADO, TRINI	AMERICAN PLAYHOUSE	1981
ALVARADO, TRINI	AMERICAN FRIENDS	1991
AMATRUDO, ED	POPCORN	1991
AMEN, TONY	DEAD AND ALIVE: THE RACE FOR GUS FARACE	1991
AMENDOLA, TONY (I)	DRUG WARS: THE CAMARENA STORY	1990
AMOS, JOHN (I)	RICOCHET	1991
AMOS, JOHN (I)	AMERICAN MASTERS	1985
AMOS, JOHN (I)	VANISHING POINT	1971
ANDERSON, DION (I)	LAST FLIGHT OUT	1990
ANDERSON, DION (I)	DYING YOUNG	1991
ANDERSON, DION (I)	HAVANA	1990
ANDERSON, KEVIN (I)	SLEEPING WITH THE ENEMY	1991
ANDERSON, KEVIN (I)	LIEBESTRAUM	1991
ANDERSON, LISA ARRINDELL	ONE GOOD COP	1991
ANDERSON, LISA ARRINDELL	SCREENPLAY	1986
ANDERSON, LISA ARRINDELL	LIVIN' LARGE!	1991
ANDERSON, PAMELA (I)	THE TAKING OF BEVERLY HILLS	1991
ANDERSON, ROY T. (I)	SCANNERS II: THE NEW ORDER	1991
ANDERSON, STEVEN (II)	ADVENTURES IN DINOSAUR CITY	1991
ANDERSON, STEVEN (II)	HOMICIDE	1991
ANDREI, DAMIR	AMERICAN PLAYHOUSE	1981
ANDREU, SIMÛN	SANGRE Y ARENA	1989
ANDREU, SIMÛN	DRUG WARS: THE CAMARENA STORY	1990
ANDREWS, JULIE (I)	AMERICAN MASTERS	1985
ANDREWS, NAVEEN	LONDON KILLS ME	1991
ANDREWS, RÈAL	LAST MAN STANDING	1987
ANDROSKY, CAROLE	LITTLE BIG MAN	1970
ANGEL, VANESSA	KILLER INSTINCT	1991
ANGLADE, JEAN-HUGUES	LA DOMENICA SPECIALMENTE	1991
ANN-MARGRET	THE RETURN OF THE SOLDIER	1982
ANN-MARGRET	LOOKIN' TO GET OUT	1982
ANTHONY, LYSETTE	SWITCH	1991
ANTICO, PETE	HIGHLANDER II: THE QUICKENING	1991
ANTICO, PETE	29TH STREET	1991
ANTONIO, JIM	THE WALTONS	1971
ANTONIO, JIM	EVE OF DESTRUCTION	1991
APICELLA, JOHN	CATCHFIRE	1990
APICELLA, JOHN	POINT BREAK	1991
APISA, ROBERT	THE LAST BOY SCOUT	1991
APOSTOLINA, STEPHEN (I)	KAZE NO TANI NO NAUSHIKA	1984
APOSTOLINA, STEPHEN (I)	AKIRA	1988
APPLEGATE, ROYCE D.	RAMPAGE	1987
APREA, JOHN	NEW JACK CITY	1991
AQUINO, AMY	DESCENDING ANGEL	1990
ARANA, TOMAS	FRANCESCO	1989
ARANHA, RAY	AMERICAN PLAYHOUSE	1981
ARANHA, RAY	CITY OF HOPE	1991
ARASKOG, JULIE	HIGH STRUNG	1991
ARCANGELI, DOMIZIANO	FRANCESCO	1989
ARCANGELI, DOMIZIANO	UNA DONNA DA GUARDARE	1991
ARDANT, FANNY	AFRAID OF THE DARK	1991
ARENBERG, LEE	V.I. WARSHAWSKI	1991
ARENBERG, LEE	WHORE	1991
ARGO, VICTOR	THE WALTONS	1971
ARGO, VICTOR	VENDETTA: SECRETS OF A MAFIA BRIDE	1991
ARGO, VICTOR	MCBAIN	1991
ARIAS, YANCEY	GUILTY UNTIL PROVEN INNOCENT	1991
ARKIN, ALAN	HAVANA	1990
ARKIN, ALAN	AMERICAN PLAYHOUSE	1981
ARMENANTE, JILLIAN	DOGFIGHT	1991
ARMEND·RIZ JR., PEDRO	LICENCE TO KILL	1989
ARMSTRONG, ALUN	LONDON KILLS ME	1991
ARMSTRONG, ALUN	SCREENPLAY	1986
ARMSTRONG, ALUN	AMERICAN FRIENDS	1991
ARMSTRONG, R.G.	MAJOR DUNDEE	1965
ARMSTRONG, R.G.	PAT GARRETT & BILLY THE KID	1973
ARMSTRONG, R.G.	J.W. COOP	1971
ARMSTRONG, R.G.	THE GREAT WHITE HOPE	1970
ARMSTRONG, WILLIAM (I)	SCREENPLAY	1986
ARMUS, SIDNEY	WHO IS HARRY KELLERMAN AND WHY IS HE SAYING THOSE TERRIBLE THINGS ABOUT ME?	1971
ARNOLD, MADISON	IN THE LINE OF DUTY: MANHUNT IN THE DAKOTAS	1991
ARNOLD, MADISON	AMERICAN PLAYHOUSE	1981
ARNOLD, TICHINA	LITTLE SHOP OF HORRORS	1986
ARNOLD, TOM (I)	FREDDY'S DEAD: THE FINAL NIGHTMARE	1991
ARQUETTE, ALEXIS	AMERICAN PLAYHOUSE	1981
ARQUETTE, DAVID (I)	WHERE THE DAY TAKES YOU	1991
ARQUETTE, LEWIS	THE WALTONS	1971
ARQUETTE, LEWIS	BOOK OF LOVE	1990
ARQUETTE, LEWIS	AKIRA	1988
ARQUETTE, PATRICIA	THE INDIAN RUNNER	1991
ASHMORE, AARON	MARRIED TO IT	1991
ASHMORE, SHAWN	MARRIED TO IT	1991
ASHTON-GRIFFITHS, ROGER	BRAZIL	1985
ASKEW, LUKE (I)	ANGEL UNCHAINED	1970
ASKEW, LUKE (I)	PAT GARRETT & BILLY THE KID	1973
ASKEW, LUKE (I)	DUNE WARRIORS	1991
ASKEW, LUKE (I)	NO RETREAT, NO SURRENDER 3: BLOOD BROTHERS	1990
ASKEW, LUKE (I)	FLAREUP	1969
ASNER, EDWARD	SWITCHED AT BIRTH	1991
ASNER, EDWARD	THEY CALL ME MISTER TIBBS!	1970
ASNER, EDWARD	JFK	1991
ASNER, EDWARD	HALLS OF ANGER	1970
ASPARAGUS, FRED	TERMINAL FORCE	1989
ASPARAGUS, FRED	THE FIVE HEARTBEATS	1991
ASPARAGUS, FRED	HAVANA	1990
ASSANTE, ARMAND	THE MARRYING MAN	1991
ASTIN, SEAN	TOY SOLDIERS	1991
ASTIN, SEAN	WHERE THE DAY TAKES YOU	1991
ATKINE, FÈODOR	TACONES LEJANOS	1991
ATKINS, CHRISTOPHER	FATAL CHARM	1990
ATKINS, EILEEN	LET HIM HAVE IT	1991
AUBERJONOIS, RENE	AMERICAN MASTERS	1985
AUBERJONOIS, RENE	MASH	1970
AVERY, MARGARET	AMERICAN PLAYHOUSE	1981
AVERY, VAL	KING CREOLE	1958
AVERY, VAL	THE BROTHERHOOD	1968
AVERY, VAL	VANISHING POINT	1971
AXELROD, JACK	BANANAS	1971
AXELROD, ROBERT (I)	AKIRA	1988
AYKROYD, DAN	AMERICAN MASTERS	1985
AZARIA, HANK	PRETTY WOMAN	1990
AZZARA, CANDICE	WHO IS HARRY KELLERMAN AND WHY IS HE SAYING THOSE TERRIBLE THINGS ABOUT ME?	1971
BABATUNDÈ, OBBA	DEAD AGAIN	1991
BACALL, LAUREN	AMERICAN MASTERS	1985
BACARELLA, MIKE	AMERICAN PLAYHOUSE	1981
BACARELLA, MIKE	V.I. WARSHAWSKI	1991
BACH, JOHN (I)	BLOOD OATH	1990
BACHMANN, CONRAD	FAVORITE SON	1988
BACON, KEVIN (I)	JFK	1991
BACON, KEVIN (I)	LEMON SKY	1988
BACON, KEVIN (I)	PYRATES	1991
BADALUCCO, MICHAEL	THE HARD WAY	1991
BADALUCCO, MICHAEL	SWITCH	1991
BADALUCCO, MICHAEL	JUNGLE FEVER	1991
BADLAND, ANNETTE	SCREENPLAY	1986
BADREYA, SAYED	INTIMATE STRANGER	1991
BAILEY, G.W.	WRITE TO KILL	1991
BAILY, KIRK	VOODOO DAWN	1991
BAIR, JOHN D.	JUNGLE FEVER	1991
BAIR, JOHN D.	OTHER PEOPLE'S MONEY	1991
BAIR, JOHN D.	MORTAL THOUGHTS	1991
BAKER, BRETT (I)	DOGFIGHT	1991
BAKER, DYLAN (I)	AMERICAN PLAYHOUSE	1981
BAKER, JOE DON	CAPE FEAR	1991
BAKER, JOE DON	ADAM AT SIX A.M.	1970
BAKER, KENNY (I)	STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK	1980
BAKER, KENNY (I)	STAR WARS	1977
BAKER, KENNY (I)	STAR WARS: EPISODE VI - RETURN OF THE JEDI	1983
BAKER, KENNY (I)	AMADEUS	1984
BAKER, RAY (I)	AMERICAN PLAYHOUSE	1981
BAKKE, BRENDA	STOLEN: ONE HUSBAND	1990
BAKO, BRIGITTE	ONE GOOD COP	1991
BALDWIN, ADAM (I)	PREDATOR 2	1990
BALDWIN, ADAM (I)	WHERE THE DAY TAKES YOU	1991
BALDWIN, ALEC	AMERICAN MASTERS	1985
BALDWIN, ALEC	THE MARRYING MAN	1991
BALDWIN, DANIEL (I)	HARLEY DAVIDSON AND THE MARLBORO MAN	1991
BALDWIN, STEPHEN (I)	AMERICAN PLAYHOUSE	1981
BALDWIN, STEPHEN (I)	HOMEBOY	1988
BALDWIN, WILLIAM (I)	BACKDRAFT	1991
BALE, CHRISTIAN	HENRY V	1989
BALL, ANGELINE	THE COMMITMENTS	1991
BALSAM, TALIA	KILLER INSTINCT	1991
BAMMAN, GERRY	AMERICAN PLAYHOUSE	1981
BAMMAN, GERRY	MARRIED TO IT	1991
BANCROFT, ANNE (I)	AMERICAN PLAYHOUSE	1981
BANCROFT, ANNE (I)	AMERICAN MASTERS	1985
BANCROFT, CAMERON	83 HOURS 'TIL DAWN	1990
BANDERAS, ANTONIO	AMERICAN MASTERS	1985
BANDERAS, ANTONIO	LA BLANCA PALOMA	1989
BANDERAS, ANTONIO	MADONNA: TRUTH OR DARE	1991
BANE, MONTY	ARCHIE: TO RIVERDALE AND BACK AGAIN	1990
BANKS, ERNIE LEE	PYRATES	1991
BANKS, JONATHAN (I)	THE WALTONS	1971
BANKS, JONATHAN (I)	HONEYMOON ACADEMY	1989
BANKS, LENA	BUGSY	1991
BANKS, LENORE	THIS GUN FOR HIRE	1991
BARANSKI, CHRISTINE	AMERICAN PLAYHOUSE	1981
BARANSKI, CHRISTINE	SCREENPLAY	1986
BARBER, FRANCES	THOSE GLORY GLORY DAYS	1983
BARBER, FRANCES	YOUNG SOUL REBELS	1991
BARCLAY, CAROLINE (I)	BY THE SWORD	1991
BARDEM, JAVIER	TACONES LEJANOS	1991
BARKETT, STEVE	WIZARDS OF THE DEMON SWORD	1991
BARKIN, ELLEN	SWITCH	1991
BARKOFF, VICTORIA	SCANNERS II: THE NEW ORDER	1991
BARLOW, TIM (I)	SCREENPLAY	1986
BARNES, ADILAH	SWITCHED AT BIRTH	1991
BARNES, PRISCILLA	LICENCE TO KILL	1989
BARR, JEAN-MARC (I)	EUROPA	1991
BARR, ROSEANNE	AMERICAN MASTERS	1985
BARR, ROSEANNE	FREDDY'S DEAD: THE FINAL NIGHTMARE	1991
BARR, STEVEN (I)	DRUG WARS: THE CAMARENA STORY	1990
BARRON, DOUG (I)	ONE GOOD COP	1991
BARRY, RAYMOND J.	DRUG WARS: THE CAMARENA STORY	1990
BARRY, RAYMOND J.	K2	1991
BARRYMORE, DREW (I)	E.T. THE EXTRA-TERRESTRIAL	1982
BARRYMORE, DREW (I)	MOTORAMA	1991
BARTEL, PAUL (I)	THE POPE MUST DIE	1991
BARTLETT, BONNIE	THE WALTONS	1971
BARTLETT, CAL	PAINT YOUR WAGON	1969
BARTOK, JAYCE	THE FISHER KING	1991
BARTY, BILLY	VENDETTA: SECRETS OF A MAFIA BRIDE	1991
BARTY, BILLY	THE WALTONS	1971
BARTY, BILLY	AMERICAN MASTERS	1985
BARTY, BILLY	ROUSTABOUT	1964
BASARABA, GARY	IN THE LINE OF DUTY: MANHUNT IN THE DAKOTAS	1991
BASCO, DANTE	THE PERFECT WEAPON	1991
BASINGER, KIM	KILLJOY	1981
BASINGER, KIM	THE MARRYING MAN	1991
BASSETT, ANGELA	CITY OF HOPE	1991
BASSETT, ANGELA	BOYZ N THE HOOD	1991
BASSETT, LINDA (I)	AMERICAN PLAYHOUSE	1981
BASSETT, LINDA (I)	LET HIM HAVE IT	1991
BASSETT, WILLIAM	1776	1972
BASSETT, WILLIAM	AKIRA	1988
BASULTO, DAVID	OUT FOR JUSTICE	1991
BATES, ALAN (I)	THE RETURN OF THE SOLDIER	1982
BATES, ALAN (I)	DR. M	1990
BATES, KATHY (I)	AT PLAY IN THE FIELDS OF THE LORD	1991
BATES, PAUL (I)	AMERICAN PLAYHOUSE	1981
BATES, PAUL (I)	THE BONFIRE OF THE VANITIES	1990
BATES, PAUL (I)	THE SUPER	1991
BATESON, TIMOTHY	LOOPHOLE	1981
BAUCHAU, PATRICK	THE RAPTURE	1991
BAUER, MICHELLE	PUPPET MASTER III: TOULON'S REVENGE	1991
BAUER, MICHELLE	TERMINAL FORCE	1989
BAUER, MICHELLE	NAKED OBSESSION	1990
BAUER, STEVEN	A CLIMATE FOR KILLING	1991
BAUER, STEVEN	DRUG WARS: THE CAMARENA STORY	1990
BAUR, MARC	ULTIMATE DESIRES	1991
BAY, FRANCES	AMERICAN PLAYHOUSE	1981
BAY, FRANCES	THE PIT AND THE PENDULUM	1991
BAYNE, LAWRENCE	BLACK ROBE	1991
BEACH, MICHAEL (I)	THE ABYSS	1989
BEALS, JENNIFER	BLOOD AND CONCRETE	1991
BEALS, JENNIFER	DR. M	1990
BEAN, SEAN	SCREENPLAY	1986
BEARD, KEVIN (I)	JFK	1991
BEASLEY, ALLYCE	MOTORAMA	1991
BEASLEY, JOHN (I)	V.I. WARSHAWSKI	1991
BEATTY JR., LOU	THE TERROR WITHIN II	1991
BEATTY JR., LOU	FAVORITE SON	1988
BEATTY, NED	THE WALTONS	1971
BEATTY, NED	AMERICAN PLAYHOUSE	1981
BEATTY, NED	AMERICAN MASTERS	1985
BEATTY, NED	HEAR MY SONG	1991
BEATTY, NED	SUPERMAN	1978
BEATTY, NED	SEX AND BUTTERED POPCORN	1989
BEATTY, WARREN (I)	MADONNA: TRUTH OR DARE	1991
BEATTY, WARREN (I)	BUGSY	1991
BEATTY, WARREN (I)	AMERICAN MASTERS	1985
BEATTY, WARREN (I)	BONNIE AND CLYDE	1967
BECK, BILLY (I)	ANOTHER YOU	1991
BECK, BILLY (I)	THE KILLING MIND	1991
BECK, BILLY (I)	STRANGER IN OUR HOUSE	1978
BECK, BILLY (I)	VALLEY OF THE DOLLS	1967
BECK, JOHN (II)	LAWMAN	1971
BECK, JOHN (II)	A CLIMATE FOR KILLING	1991
BECK, JOHN (II)	PAT GARRETT & BILLY THE KID	1973
BECKEL, GRAHAM	LIEBESTRAUM	1991
BECKER, GERRY	WITHOUT WARNING: THE JAMES BRADY STORY	1991
BECKER, GRETCHEN	THE DOORS	1991
BECKER, GRETCHEN	TERRORGRAM	1990
BECKER, GRETCHEN	FIREHEAD	1991
BEDELIA, BONNIE	SWITCHED AT BIRTH	1991
BEDELIA, BONNIE	SOMEBODY HAS TO SHOOT THE PICTURE	1990
BEDFORD LLOYD, JOHN	DIARY OF A HITMAN	1991
BEDFORD LLOYD, JOHN	THE ABYSS	1989
BEEVERS, GEOFFREY	SCREENPLAY	1986
BEGA, LESLIE	UNCAGED	1991
BEGA, LESLIE	MOBSTERS	1991
BEGHE, JASON	THELMA & LOUISE	1991
BEKINS, RICHARD	BILLY BATHGATE	1991
BELAFONTE, HARRY	AMERICAN MASTERS	1985
BELAFONTE, HARRY	THE ANGEL LEVINE	1970
BELL, E.E.	'A' GAI WAK	1983
BELL, MICHAEL (I)	BROTHER JOHN	1971
BELL, TOBIN	VENDETTA: SECRETS OF A MAFIA BRIDE	1991
BELL, TOM (I)	LET HIM HAVE IT	1991
BELL, TOM (I)	SCREENPLAY	1986
BELL, TOM (I)	PROSPERO'S BOOKS	1991
BELLAMY, NED	THE WALTONS	1971
BELLAMY, NED	FATAL CHARM	1990
BELLAMY, NED	WRITER'S BLOCK	1991
BELLAMY, NED	GUNSMOKE: THE LAST APACHE	1990
BELLAN, JOE	TRUE IDENTITY	1991
BELLAN, JOE	THE MARRYING MAN	1991
BELTRAN, ROBERT (I)	BUGSY	1991
BELUSHI, JAMES	DIARY OF A HITMAN	1991
BELUSHI, JAMES	LITTLE SHOP OF HORRORS	1986
BELZER, RICHARD	THE BONFIRE OF THE VANITIES	1990
BENDER, LAWRENCE	LIONHEART	1990
BENEDICT, PAUL	COLD TURKEY	1971
BENEDICT, PAUL	THE GANG THAT COULDN'T SHOOT STRAIGHT	1971
BENIGNI, ROBERTO	NIGHT ON EARTH	1991
BENIGNI, ROBERTO	JOHNNY STECCHINO	1991
BENING, ANNETTE	BUGSY	1991
BENJAMIN, ANDRÈ	AMERICAN MASTERS	1985
BENJAMIN, PAUL (I)	AMERICAN PLAYHOUSE	1981
BENJAMIN, PAUL (I)	THE SUPER	1991
BENJAMIN, PAUL (I)	THE FIVE HEARTBEATS	1991
BENJAMIN, PAUL (I)	AMERICAN MASTERS	1985
BENNETT, JEFF (I)	KAZE NO TANI NO NAUSHIKA	1984
BENNETT, JOHN (I)	THE PLAGUE DOGS	1982
BENNETT, JOHN (I)	SCREENPLAY	1986
BENNETT, JOHN (I)	THE HOUSE THAT DRIPPED BLOOD	1971
BENSKIN, TYRONE	THE PHONE CALL	1989
BENSKIN, TYRONE	SCANNERS II: THE NEW ORDER	1991
BENYAER, MICHAEL	THE HITMAN	1991
BERCOVICI, LUCA	K2	1991
BERENGER, TOM	SHATTERED	1991
BERENGER, TOM	AT PLAY IN THE FIELDS OF THE LORD	1991
BERG, PETER (I)	TALE OF TWO SISTERS	1989
BERG, PETER (I)	CROOKED HEARTS	1991
BERGEN, BOB (I)	AKIRA	1988
BERGEN, CANDICE	SOLDIER BLUE	1970
BERGEN, CANDICE	AMERICAN MASTERS	1985
BERGEN, CANDICE	THE SAND PEBBLES	1966
BERGER, ANNA (I)	BOOK OF LOVE	1990
BERGER, ANNA (I)	MOBSTERS	1991
BERGER, ANNA (I)	THE DARK BACKWARD	1991
BERGIN, PATRICK	HIGHWAY TO HELL	1991
BERGIN, PATRICK	THOSE GLORY GLORY DAYS	1983
BERGIN, PATRICK	SLEEPING WITH THE ENEMY	1991
BERKELEY, XANDER	BILLY BATHGATE	1991
BERKELEY, XANDER	FOR THE BOYS	1991
BERKELEY, XANDER	TERMINATOR 2: JUDGMENT DAY	1991
BERKOFF, STEVEN	REVOLUTION	1985
BERKOFF, STEVEN	PROFESSIONE: REPORTER	1975
BERNHARD, SANDRA (I)	MADONNA: TRUTH OR DARE	1991
BERNHARD, SANDRA (I)	HUDSON HAWK	1991
BERNHARDT, CHICK	LICENCE TO KILL	1989
BERNHARDT, DANIEL (I)	AMERICAN MASTERS	1985
BERNSEN, CORBIN	SHATTERED	1991
BERNSEN, CORBIN	THE WALTONS	1971
BERRY, HALLE	THE LAST BOY SCOUT	1991
BERRY, HALLE	JUNGLE FEVER	1991
BERRYMAN, DOROTHÈE	SCANNERS II: THE NEW ORDER	1991
BERRYMAN, MICHAEL	WIZARDS OF THE DEMON SWORD	1991
BERRYMAN, MICHAEL	EVIL SPIRITS	1990
BERRYMAN, MICHAEL	GUYVER	1991
BETTENFELD, DOMINIQUE	DELICATESSEN	1991
BIEHN, MICHAEL	THE ABYSS	1989
BIEHN, MICHAEL	RAMPAGE	1987
BIEHN, MICHAEL	ALIENS	1986
BIEHN, MICHAEL	GREASE	1978
BIEHN, MICHAEL	TIMEBOMB	1991
BIEHN, MICHAEL	K2	1991
BIERKO, CRAIG	VICTIMLESS CRIMES	1990
BIGGERS, DAN	PARIS TROUT	1991
BIGGERS, DAN	AMERICAN PLAYHOUSE	1981
BIGGERS, DAN	BASKET CASE 3	1991
BIGHAM, LEXIE	BOYZ N THE HOOD	1991
BIGWOOD, JAMES	AMERICAN PLAYHOUSE	1981
BILL, LEO	SCREENPLAY	1986
BILLA, SALVATORE	YEAR OF THE GUN	1991
BILLA, SALVATORE	VENDETTA: SECRETS OF A MAFIA BRIDE	1991
BILLA, SALVATORE	ONCE UPON A TIME IN AMERICA	1984
BILLA, SALVATORE	INDIO BLACK, SAI CHE TI DICO: SEI UN GRAN FIGLIO DI...	1970
BILLA, SALVATORE	LA PUTAIN DU ROI	1990
BILLA, SALVATORE	THE GODFATHER: PART III	1990
BILLINGSLEA, BEAU	AKIRA	1988
BINOCHE, JULIETTE	LES AMANTS DU PONT-NEUF	1991
BINOCHE, JULIETTE	WOMEN & MEN 2: IN LOVE THERE ARE NO RULES	1991
BIRK, RAYE	GAS! -OR- IT BECAME NECESSARY TO DESTROY THE WORLD IN ORDER TO SAVE IT.	1970
BIRK, RAYE	ARCHIE: TO RIVERDALE AND BACK AGAIN	1990
BIRNEY, REED	AMERICAN MASTERS	1985
BISHOP, LARRY	THE DEVIL'S 8	1969
BISHOP, LARRY	ANGEL UNCHAINED	1970
BISHOP, LARRY	CHROME AND HOT LEATHER	1971
BISHOP, LARRY	WILD IN THE STREETS	1968
BISSET, JACQUELINE	FORBIDDEN	1984
BISSET, JACQUELINE	THE FIRST TIME	1969
BLACK, GERRY (I)	HOWLING VI: THE FREAKS	1991
BLACK, GERRY (I)	SILENT NIGHT, DEADLY NIGHT 5: THE TOY MAKER	1991
BLACK, KAREN (I)	DIXIE LANES	1988
BLACK, KAREN (I)	EVIL SPIRITS	1990
BLACK, KAREN (I)	CHILDREN OF THE NIGHT	1991
BLACK, LARRY (I)	IN THE LINE OF DUTY: MANHUNT IN THE DAKOTAS	1991
BLACK, LEWIS	THE HARD WAY	1991
BLACKMAN, IAN (I)	AMERICAN PLAYHOUSE	1981
BLADES, RUBÈN	PREDATOR 2	1990
BLADES, RUBÈN	HOMEBOY	1988
BLADES, RUBÈN	THE SUPER	1991
BLAIR, BILL (III)	AMERICAN PLAYHOUSE	1981
BLAISDELL, BRAD	THE TERROR WITHIN II	1991
BLAISDELL, BRAD	THE UNBORN	1991
BLAKE, CLEMENT	WRITER'S BLOCK	1991
BLANKS, BILLY	LUNG HANG TIN HAA	1989
BLANKS, BILLY	THE LAST BOY SCOUT	1991
BLANKS, BILLY	LIONHEART	1990
BLANKS, BILLY	TIMEBOMB	1991
BLESSED, BRIAN	HENRY V	1989
BLICKER, JASON	THE TAKING OF BEVERLY HILLS	1991
BLOOM, BRIAN (I)	ONCE UPON A TIME IN AMERICA	1984
BLOOM, CLAIRE (I)	AMERICAN MASTERS	1985
BLOOM, CLAIRE (I)	AMERICAN PLAYHOUSE	1981
BLUM, STEVE (IX)	AKIRA	1988
BLUTEAU, LOTHAIRE	BLACK ROBE	1991
BOEN, EARL	TERMINATOR 2: JUDGMENT DAY	1991
BOGART, HUMPHREY	CASABLANCA	1942
BOGART, HUMPHREY	AMERICAN MASTERS	1985
BOGART, HUMPHREY	THE AFRICAN QUEEN	1951
BOGDANOVICH, PETER	THE WILD ANGELS	1966
BOGDANOVICH, PETER	THE LAST PICTURE SHOW	1971
BOGDANOVICH, PETER	AMERICAN MASTERS	1985
BOGDANOVICH, PETER	TARGETS	1968
BOGOSIAN, ERIC	SEX, DRUGS, ROCK & ROLL	1991
BOGOSIAN, ERIC	LAST FLIGHT OUT	1990
BOLENDER, BILL	JFK	1991
BOLOGNA, GABRIEL	FOR THE BOYS	1991
BONACELLI, PAOLO	NIGHT ON EARTH	1991
BONACELLI, PAOLO	FRANCESCO	1989
BONACELLI, PAOLO	JOHNNY STECCHINO	1991
BONHAM CARTER, HELENA	FRANCESCO	1989
BONHAM CARTER, HELENA	WHERE ANGELS FEAR TO TREAD	1991
BONILLA, ART	DRUG WARS: THE CAMARENA STORY	1990
BORGHESE, PAUL	ENRAPTURE	1989
BORGHESE, PAUL	WHO SHOT PATAKANGO?	1989
